ASN,ASN_NAME,SOURCE,ASOF_DATE
210129,RIPE::AS210129,PeeringDB,2024-05-23
59954,AS-TN-IX,PeeringDB,2024-05-23
59956,RIPE::AS-EU-IX,PeeringDB,2024-05-23
271413,AS271413:AS-ANNOUNCEMENTS,PeeringDB,2024-05-23
7668,AS-HTCN,PeeringDB,2024-05-23
271410,AS271410:AS-SMART,PeeringDB,2024-05-23
271417,AS271417:AS-ACESSO,PeeringDB,2024-05-23
271415,AS271415,PeeringDB,2024-05-23
271414,AS271414:AS-RTINETWORK,PeeringDB,2024-05-23
40081,AS40081:AS-ALL,PeeringDB,2024-05-23
40080,AS-IRLTOOLKIT,PeeringDB,2024-05-23
271419,AS-MUNDONET,PeeringDB,2024-05-23
7664,AS-HARENET,PeeringDB,2024-05-23
137184,AS-SUNIWAY-PH,PeeringDB,2024-05-23
136856,AS136856:AS-BERSAMANET-ID,PeeringDB,2024-05-23
147190,AS147190,PeeringDB,2024-05-23
212022,AS-RN-NET1,PeeringDB,2024-05-23
58682,AS-58682,PeeringDB,2024-05-23
212024,AS212024:AS-RISSON,PeeringDB,2024-05-23
212027,AS-PEBBLEHOST,PeeringDB,2024-05-23
147195,AS147195:AS-VAIDIKNETSOL,PeeringDB,2024-05-23
37168,AS-CELLC,PeeringDB,2024-05-23
197669,AS-CLOUDCALL-UK,PeeringDB,2024-05-23
58689,AS-58689,PeeringDB,2024-05-23
132808,AS132808:AS-IPTELCO,PeeringDB,2024-05-23
268286,TC::AS268286:AS-ALL,PeeringDB,2024-05-23
269627,AS269627:AS-EXAINTERNET,PeeringDB,2024-05-23
268283,AS268283:AS-NETFIBER,PeeringDB,2024-05-23
262195,AS-ITXAR1,PeeringDB,2024-05-23
400998,AS-AWN-SERVER-HOSTING,PeeringDB,2024-05-23
268289,AS268289,PeeringDB,2024-05-23
1764,RIPE::AS-NEXTLAYER,PeeringDB,2024-05-23
264508,AS264508,PeeringDB,2024-05-23
29596,AS-GENERACJA,PeeringDB,2024-05-23
18646,AS18646:AS-CONE,PeeringDB,2024-05-23
209933,AS209933:AS-ALL,PeeringDB,2024-05-23
40220,AS40220:AS-ALL,PeeringDB,2024-05-23
