ASN,ASN_NAME,SOURCE,ASOF_DATE
1267,ASN-WINDTRE,ASRank,2024-05-24
31242,TKPSA-AS,ASRank,2024-05-24
56258,PGAS-AS-ID,ASRank,2024-05-24
11351,TWC-11351-NORTHEAST,ASRank,2024-05-24
60280,NTEC,ASRank,2024-05-24
22652,FIBRENOIRE-INTERNET,ASRank,2024-05-24
40264,TWC-40264-WI-MN-UPPERMI-C3,ASRank,2024-05-24
4808,CHINA169-BJ,ASRank,2024-05-24
2518,BIGLOBE,ASRank,2024-05-24
12713,OTEGlobe,ASRank,2024-05-24
31287,IPACCT-AS,ASRank,2024-05-24
34779,T-2-AS,ASRank,2024-05-24
200780,APPLIWAVE,ASRank,2024-05-24
8657,MEO-INTERNACIONAL,ASRank,2024-05-24
22822,LLNW,ASRank,2024-05-24
703,UUNET,ASRank,2024-05-24
11426,TWC-11426-CAROLINAS,ASRank,2024-05-24
58655,SKYTEL6-BD,ASRank,2024-05-24
132770,GAZON-AS-IN,ASRank,2024-05-24
9269,HKBN-AS-AP,ASRank,2024-05-24
26554,US-SIGNAL,ASRank,2024-05-24
35000,SEVEREN-TELECOM_TRANSIT,ASRank,2024-05-24
13367,COMCAST-13367,ASRank,2024-05-24
48237,MOBILY-AS,ASRank,2024-05-24
2381,WISCNET1-AS,ASRank,2024-05-24
1853,ACOnet,ASRank,2024-05-24
21497,UMC-AS,ASRank,2024-05-24
33668,CMCS,ASRank,2024-05-24
3561,CENTURYLINK-LEGACY-SAVVIS,ASRank,2024-05-24
48159,TIC-AS,ASRank,2024-05-24
13094,SFO-IX-AS,ASRank,2024-05-24
45796,UIH-BBCONNECT-AS-AP,ASRank,2024-05-24
10103,HKBN-AS-AP,ASRank,2024-05-24
132215,POWERGRID-IN,ASRank,2024-05-24
8262,EVOLINK-AS,ASRank,2024-05-24
35753,ITC,ASRank,2024-05-24
13767,DATABANK-DFW,ASRank,2024-05-24
9885,NKN-INTERNET-GW,ASRank,2024-05-24
12310,iNES,ASRank,2024-05-24
58656,BDHUB-BD,ASRank,2024-05-24
44592,SkyLink,ASRank,2024-05-24
37179,AFRICAINX,ASRank,2024-05-24
3302,AS-IRIDEOS,ASRank,2024-05-24
3910,CENTURYLINK-EUROPE-LEGACY-QWEST,ASRank,2024-05-24
18101,RELIANCE-COMMUNICATIONS-IN,ASRank,2024-05-24
11796,AIRSTREAMCOMM-NET,ASRank,2024-05-24
56534,PIRIX-INET-AS,ASRank,2024-05-24
269194,ST1 INTERNET,ASRank,2024-05-24
8452,TE-AS,ASRank,2024-05-24
4780,SEEDNET,ASRank,2024-05-24
35819,Mobily-AS,ASRank,2024-05-24
58224,TCI,ASRank,2024-05-24
25255,H3G-Austria-AS,ASRank,2024-05-24
206810,UGLETELECOM,ASRank,2024-05-24
133840,JLMNET-AS-ID,ASRank,2024-05-24
7725,COMCAST-7725,ASRank,2024-05-24
9381,HKBNES-AS-AP,ASRank,2024-05-24
5483,MAGYAR-TELEKOM-MAIN-AS,ASRank,2024-05-24
141731,MaxHubLtd-AS-AP,ASRank,2024-05-24
199599,CIREX,ASRank,2024-05-24
53427,TGLOBAL-NETWORKS,ASRank,2024-05-24
150178,EXABYTELTD-AS-AP,ASRank,2024-05-24
202766,as-codinet,ASRank,2024-05-24
35805,SILKNET-AS,ASRank,2024-05-24
55824,NKN-CORE-NW,ASRank,2024-05-24
5089,NTL,ASRank,2024-05-24
33660,CMCS,ASRank,2024-05-24
15305,SYRINGANETWORKS,ASRank,2024-05-24
11272,TELEPAK-NETWORKS-INC,ASRank,2024-05-24
5056,AUREON-5056,ASRank,2024-05-24
38757,ICONPLN-ID-AP-NAP,ASRank,2024-05-24
8932,UCOMINT,ASRank,2024-05-24
8767,MNET-AS,ASRank,2024-05-24
38731,VTDC-AS-VN,ASRank,2024-05-24
44530,HOPUS,ASRank,2024-05-24
12779,ITGATE,ASRank,2024-05-24
8449,AS8449-ELCAT,ASRank,2024-05-24
9119,SOFTNET-AS,ASRank,2024-05-24
52091,LEVEL-MSK-AS,ASRank,2024-05-24
6696,VERIXI,ASRank,2024-05-24
7568,CSLOX-IIG-AS-AP,ASRank,2024-05-24
8412,TMA,ASRank,2024-05-24
40676,AS40676,ASRank,2024-05-24
7795,LUMOS,ASRank,2024-05-24
19009,ONECLEVELAND,ASRank,2024-05-24
17995,SOLUSINET-AS-ID,ASRank,2024-05-24
7660,APAN-JP,ASRank,2024-05-24
4847,CNIX-AP,ASRank,2024-05-24
3212,TELEMACH,ASRank,2024-05-24
46786,IPTRANSIT,ASRank,2024-05-24
12025,IMDC-AS12025,ASRank,2024-05-24
45489,SLT-GLOBAL,ASRank,2024-05-24
15290,ALLST-15290,ASRank,2024-05-24
12085,EQUINIX-EC-DC,ASRank,2024-05-24
62943,AS62943-BLUEBIRD-NETWORK,ASRank,2024-05-24
4809,CHINATELECOM-CORE-WAN-CN2,ASRank,2024-05-24
31713,GWCOMMS-MPLS,ASRank,2024-05-24
17408,ABOVE-AS-AP,ASRank,2024-05-24
33652,CMCS,ASRank,2024-05-24
19108,SUDDENLINK-COMMUNICATIONS,ASRank,2024-05-24
17451,BIZNET-AS-AP,ASRank,2024-05-24
13789,INTERNAP-BLK3,ASRank,2024-05-24
43298,StormNetworks,ASRank,2024-05-24
20632,PETERSTAR-AS,ASRank,2024-05-24
45147,NAPINFO-TRANSIT-AS-AP,ASRank,2024-05-24
8308,NASK-COMMERCIAL,ASRank,2024-05-24
33490,COMCAST-33490,ASRank,2024-05-24
150748,GMTL-AS-AP,ASRank,2024-05-24
18106,VIEWQWEST-SG-AP,ASRank,2024-05-24
