ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
328411,-18.9125,47.5315,RIPEAtlas,,-18.9166373506,47.5166239001,Antananarivo,Antananarivo,MG,False,2024-05-24
37054,-18.9115,47.5315,RIPEAtlas,,-18.9166373506,47.5166239001,Antananarivo,Antananarivo,MG,False,2024-05-24
3320,49.2395,6.9715,RIPEAtlas,,49.250390441,6.97000321313,Saarbrücken,Saarland,DE,False,2024-05-24
52468,8.9905,-79.5185,RIPEAtlas,,8.96801719048,-79.5330371518,Panama City,Panama,PA,False,2024-05-24
9500,-43.5325,172.6815,RIPEAtlas,,-43.5350215954,172.630023156,Christchurch,Canterbury,NZ,False,2024-05-24
5466,53.3885,-6.1485,RIPEAtlas,,53.333061136,-6.24890568178,Dublin,Dublin,IE,False,2024-05-24
15962,48.1485,17.1715,RIPEAtlas,,48.15001833,17.1169807522,Bratislava,Bratislavský,SK,False,2024-05-24
58224,35.7395,51.4415,RIPEAtlas,,35.6719427684,51.4243440336,Tehran,Tehran,IR,False,2024-05-24
48347,51.5505,46.0215,RIPEAtlas,,51.5799898469,46.029996296,Saratov,Saratov,RU,False,2024-05-24
12389,56.4975,84.9575,RIPEAtlas,,56.4949869986,84.975009317,Tomsk,Tomsk,RU,False,2024-05-24
15435,52.1695,6.1375,RIPEAtlas,,51.9879960345,5.92299956246,Arnhem,Gelderland,NL,False,2024-05-24
44592,50.8995,6.0675,RIPEAtlas,,50.8529970672,5.67700247661,Maastricht,Limburg,NL,False,2024-05-24
15366,52.7705,13.6175,RIPEAtlas,,52.5218186636,13.4015486233,Berlin,Berlin,DE,False,2024-05-24
20712,52.4005,-0.7325,RIPEAtlas,,52.6299774364,-1.13324894348,Leicester,Leicester,GB,False,2024-05-24
57118,47.3775,8.4975,RIPEAtlas,,47.3799878124,8.55001013046,Zürich,Zürich,CH,False,2024-05-24
